input,answer
"Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.

Question: In this sentence, who does the blank refer to?

A. Ian
B. Dennis
",B
"Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.

Question: In this sentence, who does the blank refer to?

A. Ian
B. Dennis
",A
"He never comes to my home, but I always go to his house because the _ is smaller.

Question: In this sentence, who does the blank refer to?

A. home
B. house
",A
"He never comes to my home, but I always go to his house because the _ is bigger.

Question: In this sentence, who does the blank refer to?

A. home
B. house
",B
"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate.

Question: In this sentence, who does the blank refer to?

A. Kyle
B. Logan
",B
"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a warmer climate.

Question: In this sentence, who does the blank refer to?

A. Kyle
B. Logan
",A
"The GPS and map helped me navigate home.  I got lost when the _ got turned upside down.

Question: In this sentence, who does the blank refer to?

A. GPS
B. map
",B
"The GPS and map helped me navigate home.  I got lost when the _ got turned off.

Question: In this sentence, who does the blank refer to?

A. GPS
B. map
",A
"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .

Question: In this sentence, who does the blank refer to?

A. Emily
B. Patricia
",B
"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .

Question: In this sentence, who does the blank refer to?

A. Emily
B. Patricia
",A
"The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.

Question: In this sentence, who does the blank refer to?

A. safe
B. trolley
",B
"The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.

Question: In this sentence, who does the blank refer to?

A. safe
B. trolley
",A
"He thought he had time to take the scenic route to the store, but the _ was under construction.

Question: In this sentence, who does the blank refer to?

A. route
B. store
",A
"He thought he had time to take the scenic route to the store, but the _ was closed early.

Question: In this sentence, who does the blank refer to?

A. route
B. store
",B
"She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick.

Question: In this sentence, who does the blank refer to?

A. chair
B. table
",B
"She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is time consuming.

Question: In this sentence, who does the blank refer to?

A. chair
B. table
",A
"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.

Question: In this sentence, who does the blank refer to?

A. unconscious
B. conscious
",B
"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are involuntary.

Question: In this sentence, who does the blank refer to?

A. unconscious
B. conscious
",A
"Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.

Question: In this sentence, who does the blank refer to?

A. Megan
B. Jessica
",B
"Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.

Question: In this sentence, who does the blank refer to?

A. Megan
B. Jessica
",A
"I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.

Question: In this sentence, who does the blank refer to?

A. raisins
B. peanuts
",B
"I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.

Question: In this sentence, who does the blank refer to?

A. raisins
B. peanuts
",A
"Craig really loves to clean all the time but Derrick does not because _ is very neat.

Question: In this sentence, who does the blank refer to?

A. Craig
B. Derrick
",A
"Craig really loves to clean all the time but Derrick does not because _ is very untidy.

Question: In this sentence, who does the blank refer to?

A. Craig
B. Derrick
",B
"Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers.

Question: In this sentence, who does the blank refer to?

A. Dennis
B. Robert
",A
"Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers.

Question: In this sentence, who does the blank refer to?

A. Dennis
B. Robert
",B
"The party was more interesting and uplifing than the funeral because the _ was rigid.

Question: In this sentence, who does the blank refer to?

A. party
B. funeral
",B
"The party was more interesting and uplifting than the funeral because the _ was flexible.

Question: In this sentence, who does the blank refer to?

A. party
B. funeral
",A
"The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.

Question: In this sentence, who does the blank refer to?

A. fields
B. forests
",B
"The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.

Question: In this sentence, who does the blank refer to?

A. fields
B. forests
",A
"The plant took up too much room in the urn, because the _ was small.

Question: In this sentence, who does the blank refer to?

A. plant
B. urn
",B
"The plant took up too much room in the urn, because the _ was large.

Question: In this sentence, who does the blank refer to?

A. plant
B. urn
",A
"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low.

Question: In this sentence, who does the blank refer to?

A. bird house
B. ground
",A
"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too high.

Question: In this sentence, who does the blank refer to?

A. bird house
B. ground
",B
"I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day.

Question: In this sentence, who does the blank refer to?

A. spa
B. pool
",B
"I prefer spa to the pool and I find the hot water in the _ relaxing at the end of the day.

Question: In this sentence, who does the blank refer to?

A. spa
B. pool
",A
"Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.

Question: In this sentence, who does the blank refer to?

A. Megan
B. Elena
",B
"Megan said it would be liberating to go out without makeup like Elena does. _ always wore makeup when she left the house.

Question: In this sentence, who does the blank refer to?

A. Megan
B. Elena
",A
"Donald was richer than Leslie was because companies had found oil on the property of _ .

Question: In this sentence, who does the blank refer to?

A. Donald
B. Leslie
",A
"Donald was poorer than Leslie was because companies had found oil on the property of _ .

Question: In this sentence, who does the blank refer to?

A. Donald
B. Leslie
",B
"Feeling a draft, William asked Neil to please close the front door because _ was closer.

Question: In this sentence, who does the blank refer to?

A. William
B. Neil
",B
"Feeling a draft, William asked Neil to please close the front door because _ was farther away.

Question: In this sentence, who does the blank refer to?

A. William
B. Neil
",A
"Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner.

Question: In this sentence, who does the blank refer to?

A. Lindsey
B. Megan
",B
"Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.

Question: In this sentence, who does the blank refer to?

A. Lindsey
B. Megan
",A
"Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.

Question: In this sentence, who does the blank refer to?

A. Elena
B. Megan
",B
"Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.

Question: In this sentence, who does the blank refer to?

A. Elena
B. Megan
",A
"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.

Question: In this sentence, who does the blank refer to?

A. Kenneth
B. Dennis
",B
"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.

Question: In this sentence, who does the blank refer to?

A. Kenneth
B. Dennis
",A
"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.

Question: In this sentence, who does the blank refer to?

A. Eric
B. Neil
",A
"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.

Question: In this sentence, who does the blank refer to?

A. Eric
B. Neil
",B
"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.

Question: In this sentence, who does the blank refer to?

A. Patricia
B. Tanya
",B
"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.

Question: In this sentence, who does the blank refer to?

A. Patricia
B. Tanya
",A
"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.

Question: In this sentence, who does the blank refer to?

A. tweezer
B. wristlet
",B
"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.

Question: In this sentence, who does the blank refer to?

A. tweezer
B. wristlet
",A
"Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.

Question: In this sentence, who does the blank refer to?

A. Kevin
B. Nelson
",A
"Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.

Question: In this sentence, who does the blank refer to?

A. Kevin
B. Nelson
",B
"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.

Question: In this sentence, who does the blank refer to?

A. Emily
B. Sarah
",A
"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.

Question: In this sentence, who does the blank refer to?

A. Emily
B. Sarah
",B
"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.

Question: In this sentence, who does the blank refer to?

A. Elena
B. Tanya
",B
"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.

Question: In this sentence, who does the blank refer to?

A. Elena
B. Tanya
",A
"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.

Question: In this sentence, who does the blank refer to?

A. Rebecca
B. Amy
",A
"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.

Question: In this sentence, who does the blank refer to?

A. Rebecca
B. Amy
",B
"Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.

Question: In this sentence, who does the blank refer to?

A. Jennifer
B. Erin
",B
"Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.

Question: In this sentence, who does the blank refer to?

A. Jennifer
B. Erin
",A
"The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.

Question: In this sentence, who does the blank refer to?

A. party
B. alcohol
",A
"The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.

Question: In this sentence, who does the blank refer to?

A. party
B. alcohol
",B
"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.

Question: In this sentence, who does the blank refer to?

A. Dennis
B. Jason
",B
"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.

Question: In this sentence, who does the blank refer to?

A. Dennis
B. Jason
",A
"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.

Question: In this sentence, who does the blank refer to?

A. Benjamin
B. Joseph
",A
"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.

Question: In this sentence, who does the blank refer to?

A. Benjamin
B. Joseph
",B
"John poured the entire bowl of fish into the hot pan on the stove until the _ was full.

Question: In this sentence, who does the blank refer to?

A. bowl
B. pan
",B
"John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.

Question: In this sentence, who does the blank refer to?

A. bowl
B. pan
",A
"Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.

Question: In this sentence, who does the blank refer to?

A. class
B. gym
",B
"Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.

Question: In this sentence, who does the blank refer to?

A. class
B. gym
",A
"Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.

Question: In this sentence, who does the blank refer to?

A. Natalie
B. Betty
",B
"Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.

Question: In this sentence, who does the blank refer to?

A. Natalie
B. Betty
",A
"Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.

Question: In this sentence, who does the blank refer to?

A. Aaron
B. Benjamin
",A
"Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.

Question: In this sentence, who does the blank refer to?

A. Aaron
B. Benjamin
",B
