input,answer
"Sarah was a much better surgeon than Maria so _ always got the easier cases.

Question: In this sentence, who does the blank refer to?

A. Sarah
B. Maria
",B
"Sarah was a much better surgeon than Maria so _ always got the harder cases.

Question: In this sentence, who does the blank refer to?

A. Sarah
B. Maria
",A
"They were worried the wine would ruin the bed and the blanket, but the _ was't ruined.

Question: In this sentence, who does the blank refer to?

A. blanket
B. bed
",B
"Terry tried to bake the eggplant in the toaster oven but the _ was too big.

Question: In this sentence, who does the blank refer to?

A. eggplant
B. toaster
",A
"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.

Question: In this sentence, who does the blank refer to?

A. Jeffrey
B. Hunter
",A
"The cat of Sarah has some mouth problems, so she takes it to see Maria. _ is a responsible cat owner.

Question: In this sentence, who does the blank refer to?

A. Sarah
B. Maria
",A
"The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.

Question: In this sentence, who does the blank refer to?

A. home
B. house
",A
"The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.

Question: In this sentence, who does the blank refer to?

A. home
B. house
",B
"Natalie has a rich husband and lots of money, Jennifer is poor _ needs to make her clothes.

Question: In this sentence, who does the blank refer to?

A. Natalie
B. Jennifer
",B
"Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.

Question: In this sentence, who does the blank refer to?

A. bakery
B. bank
",A
