input,answer
"Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.

Question: In this sentence, who does the blank refer to?

A. bakery
B. bank
",B
"I had to read an entire story for class tomorrow. Luckily, the _ was canceled.

Question: In this sentence, who does the blank refer to?

A. story
B. class
",B
"I had to read an entire story for class tomorrow. Luckily, the _ was short.

Question: In this sentence, who does the blank refer to?

A. story
B. class
",A
"He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.

Question: In this sentence, who does the blank refer to?

A. cafe
B. library
",A
"He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.

Question: In this sentence, who does the blank refer to?

A. cafe
B. library
",B
"Lindsey like to read graphic novels but Natalie liked classic literature to read. _ bought the new Frank Miller comic at the book store.

Question: In this sentence, who does the blank refer to?

A. Lindsey
B. Natalie
",A
"Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.

Question: In this sentence, who does the blank refer to?

A. Michael
B. Leslie
",B
"Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.

Question: In this sentence, who does the blank refer to?

A. Michael
B. Leslie
",A
"Leslie was nervous around parrots but Neil was not, since _ was bitten by a bird early in life.

Question: In this sentence, who does the blank refer to?

A. Leslie
B. Neil
",A
"Christmas was a special holiday to Eric but not Adam since _ was a Jew.

Question: In this sentence, who does the blank refer to?

A. Eric
B. Adam
",B
"To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.

Question: In this sentence, who does the blank refer to?

A. pudding
B. frosting
",B
"Benjamin was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.

Question: In this sentence, who does the blank refer to?

A. Benjamin
B. Brett
",B
"Cynthia violated the rights of Amy, because _ had too much passivity with other people.

Question: In this sentence, who does the blank refer to?

A. Cynthia
B. Amy
",B
"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.

Question: In this sentence, who does the blank refer to?

A. work
B. strength
",A
"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too little.

Question: In this sentence, who does the blank refer to?

A. work
B. strength
",B
"The roof of Rachel's home is old and falling apart, while Betty's is new. The home value of _ is lower.

Question: In this sentence, who does the blank refer to?

A. Rachel
B. Betty
",A
"All the clutter in the house excited Leslie but not Derrick because cleaning energized _ very much.

Question: In this sentence, who does the blank refer to?

A. Leslie
B. Derrick
",A
