input,answer
"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the
A. room is totally dark.
B. light source is ultraviolet.
C. beam of light does not travel toward the students.
D. room walls are shielded with insulating material.",C
"One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?
A. the amount of fertilizer added
B. the height of the fertilized plants
C. the size of each tomato produced
D. the number of tomatoes produced",A
"A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?
A. Wheel and axle
B. Lever
C. Inclined plane
D. Screw",B
"Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?
A. iron and water
B. iron and oxygen
C. iron and air
D. iron and acid",B
"The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the
A. reactants.
B. products.
C. catalysts.
D. inhibitors.",B
"What role does the centromere play in cellular reproduction?
A. It is the area where microtubules are formed.
B. It is the area where the nucleus is during cell division.
C. It is the area of alignment for the chromosomes.
D. It is the area of attachment for chromatids.",D
"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will
A. melt at -47.5°C.
B. melt at -95°C.
C. boil at 95°C.
D. boil at 47.5°C.",B
"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?
A. the mass of the driver and the fuel carried by the car
B. the wind resistance between the car and the air nearby
C. the waste heat from the combustion of fuel in the engine
D. the friction between the tires and the surface of the track",C
"A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?
A. pie graph
B. line graph
C. scatterplot
D. box-and-whisker plot",B
"When light is bounced off a mirror, the light is
A. reflected.
B. refracted.
C. absorbed.
D. diffracted.",A
"Which of the following sentences best explains what happens when puddles evaporate?
A. The water absorbs into the ground.
B. The particles of matter move more slowly.
C. The water changes from one form to another.
D. The particles of matter move closer together.",C
