input,answer
"Water causes weathering when it
A. melts rock.
B. forms deltas.
C. erodes rock in its path.
D. moves rock along a fault.",C
"Which of these statements about nonrenewable resources is true?
A. They are inexpensive.
B. They help keep the air clean.
C. They can take millions of years to form.
D. They are used because they are easily removed from the ground.",C
"Which statement best identifies a living thing that depends on another living thing to survive?
A. A wolf drinks water.
B. A moose eats a plant.
C. A spruce tree grows in soil.
D. A salmonberry plant absorbs sunlight.",B
"A student is playing with a small toy boat on a pond. The student throws a rock in the pond. This creates waves that move the boat toward the shore. The boat moves toward the shore because the waves transfer
A. energy.
B. heat.
C. motion.
D. water.",A
"A geologist finds a layer of shale near the surface from a certain time period. Nearby, the geologist finds the same layer of shale, but it is deeper underground than the first layer. What might have caused the difference in the depth of the shale layer?
A. a meteorite
B. a fault
C. ancient fossils
D. animal life",B
"The pull of gravity on Earth is caused by
A. air pressure.
B. the mass of Earth.
C. volcanoes erupting.
D. Earth's orbit around the Sun.",B
"In which type of rock are fossils generally found?
A. igneous
B. metamorphic
C. sedimentary
D. volcanic",C
"Structural geologists study rock formations to determine the type of environment in which the rocks formed and the events that shaped the rocks. Paleontologists study fossils found in rock formations. Scientists in both these fields have a common interest in discovering the
A. history and processes of Earth.
B. elements that make up the crust.
C. types of minerals that make up sediments.
D. relationships between Earth and other planets.",A
"A simple machine that helps move a flag up a flagpole is
A. a bar magnet
B. an inclined plane
C. a pulley
D. a lever",C
"Which cellular structure allows nutrients to pass into cells?
A. mitochondrion
B. nucleus
C. membrane
D. chloroplast",C
"An example of a renewable resource is
A. oil.
B. coal.
C. wood.
D. natural gas.",C
"Minerals are formed by which process?
A. magma cooling
B. fault lines moving
C. metamorphosis
D. sedimentation",A
"Which of these best defines the term ""pollutant""?
A. anything humans add to the atmosphere and oceans
B. any substance that is harmful to the environment
C. any substance that is a waste product of industry
D. a substance that does not break down over time",B
"The periodic table of the elements is systematically organized according to the
A. rate at which the elements chemically react.
B. hardness of the elements.
C. structure of the atoms of the elements.
D. radioactivity of the atoms of the elements.",C
"Which human body system produces the hormones that regulate growth?
A. skeletal
B. digestive
C. circulatory
D. endocrine",D
"Repeated exposure to extremely loud sounds can reduce hearing ability by direct damage to which structures?
A. the sensory neurons in the ears
B. interneurons between the ears and the brain
C. the sound-processing center in the brain
D. motor neurons applying commands from the brain to the ears",A
"What does a mirror do to light that causes objects to appear backwards?
A. refracts
B. reflects
C. absorbs
D. blocks",B
"The formation of the mineral halite is most likely to occur by which process?
A. the evaporation of seawater
B. the hardening of lava in seawater
C. the cementing together of sediment particles
D. the slow crystallization of magma deep in the crust",A
"A student wants to design an experiment regarding the behavior of crickets. Which is the best question to ask to begin the experiment?
A. Do crickets have 6 legs or 8 legs?
B. How long are the antennae of a cricket?
C. Do crickets chirp more during the day or at night?
D. What is the most common cricket species?",C
"Decomposers are organisms that eat and break down dead plant and animal material. Which organism is a decomposer?
A. algae
B. moss
C. bacteria
D. fish",C
"An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first ___.
A. condense
B. evaporate
C. freeze
D. melt",D
"New vaccines for diseases are being developed all the time. How do vaccines most likely help people?
A. Vaccines help prevent illnesses.
B. Vaccines keep the environment cleaner.
C. Vaccines help cure people who are sick.
D. Vaccines kill bacteria that cause infections.",A
"The cell cycle describes the processes that take place as a cell
A. absorbs nutrients.
B. makes proteins.
C. repairs old cells.
D. forms new cells.",D
"A company that makes fences started using a new material instead of wood. The new material will last longer than wood. What is the most likely benefit of the new material?
A. The new material will keep people safe.
B. The new material will keep pets contained.
C. The new material can make a yard attractive.
D. The new material can save money on replacements.",D
"Which best explains how the Appalachian Mountains formed?
A. an ancient river flooded
B. an earthquake folded land
C. tectonic plates pulled apart
D. tectonic plates collided",D
"Which is a source of sound?
A. thermal energy
B. potential energy
C. a vibration
D. a medium",C
"Which natural material is best for making a table?
A. cotton that is lightweight
B. leather that can twist
C. paper that can tear
D. wood that is sturdy",D
"A class is studying textures and collects several samples. Which of these items would the students most likely use magnification to study?
A. hair
B. cheese
C. plastic spoon
D. aluminum foil",A
"Over several years, a scientist successfully isolates a species of flower for white color. This year, when the new generation of flowers blooms, one yellow flower is found in the population. Which is the best reason for the appearance of a new flower color within the species?
A. adaptation
B. replication
C. genetic mutation
D. homologous recombination",C
"What type of precipitation occurs when raindrops freeze as they fall?
A. hail
B. frost
C. sleet
D. snow",C
"In the atomic model that includes a nucleus, the positive charge is
A. spread evenly throughout the model.
B. located at multiple sites in the model.
C. concentrated in the center of the model.
D. positioned outside the center of the model.",C
"A student used two long wires to connect a lightbulb to a battery. The student noticed that as soon as the circuit was complete, a nearby compass started to point in a direction other than north. The compass pointed in a different direction because it was reacting to the
A. heat produced by the lightbulb.
B. light produced by the lightbulb.
C. electric field produced by the battery.
D. magnetic field produced by the electric current.",D
"The production of sweat is typically a response to an increase in the body's
A. blood circulation.
B. temperature.
C. respiration.
D. heart rate.",B
"Which of the following converts electrical energy into motion?
A. light switch
B. electric stove
C. light bulb
D. electric fan",D
"What happens at the boiling point of a substance?
A. liquid becomes a gas
B. solid becomes a gas
C. liquid becomes a solid
D. solid becomes a liquid",A
"How do producers get energy?
A. eating plants and seeds
B. eating other animals
C. breaking down organisms through decay
D. using the sun to make food",D
"In an investigation, a student wants to see how a ball is affected by rolling it over a surface covered with sandpaper. In preparation for the trial, the student makes a list of the possible conditions that could affect the investigation. The student is most likely listing the
A. constants.
B. variables.
C. controls.
D. trials.",B
"If two organisms are classified in different orders but are in the same class, which of these statements is true?
A. The organisms have the same genus.
B. The organisms are in the same phylum.
C. The organisms are in different kingdoms.
D. The organisms are members of the same species.",B
"Why do mountain climbers at high elevations use oxygen tanks to help them breathe?
A. At high elevations the ozone layer draws oxygen out of the atmosphere.
B. The atmosphere is less dense at higher elevations so there is less oxygen available.
C. Oxygen is heavier than the other gases in the atmosphere and sinks to lower elevations.
D. Radiation from the Sun splits oxygen molecules into atoms making the oxygen unbreathable.",B
"The students were told that the net applied force from the engine was the same for each vehicle tested. Based on this information, which vehicle had the greatest acceleration (a = F/m)?
A. vehicle 1
B. vehicle 2
C. vehicle 3
D. vehicle 4",A
