input,answer
"Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?
A. carbon dioxide
B. food
C. protection
D. water",B
"When a switch is used in an electrical circuit, the switch can
A. cause the charge to build.
B. increase and decrease the voltage.
C. cause the current to change direction.
D. stop and start the flow of current.",D
"Which of the following is an example of an assistive device?
A. contact lens
B. motorcycle
C. raincoat
D. coffee pot",A
"Rocks are classified as igneous, metamorphic, or sedimentary according to
A. their color
B. their shape
C. how they formed
D. the minerals they contain",C
"A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate
A. has a pleasant flavor.
B. is inexpensive to produce.
C. neutralizes digestive acid.
D. occurs naturally in the body.",C
"Which two body systems are directly involved in movement?
A. muscular and skeletal
B. digestive and muscular
C. skeletal and respiratory
D. respiratory and digestive",A
"Which change in the state of water particles causes the particles to become arranged in a fixed position?
A. boiling
B. melting
C. freezing
D. evaporating",C
"Earth's core is primarily composed of which of the following materials?
A. basalt
B. iron
C. magma
D. quartz",B
"Which of the following events during meiosis contributes most to the variation within a species?
A. pairing of chromosomes
B. creation of haploid gametes
C. segregation of alleles
D. separation of chromatids",C
"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?
A. plant decomposition
B. radioactive decay
C. water erosion
D. wind erosion",A
